timestamp,vectormagnitude
2016-03-25 15:42:45,590.99
2016-03-25 15:42:50,527.31
2016-03-25 15:42:55,552.24
2016-03-25 15:43:00,628.99
2016-03-25 15:43:05,593.57
2016-03-25 15:43:10,579.33
2016-03-25 15:43:15,662.95
2016-03-25 15:43:20,627.25
2016-03-25 15:43:25,640.5
2016-03-25 15:43:30,614.79
2016-03-25 15:43:35,183.75
2016-03-25 15:43:40,0
2016-03-25 15:43:45,2
2016-03-25 15:43:50,0
2016-03-25 15:43:55,325.54
2016-03-25 15:44:00,427.43
2016-03-25 15:44:05,481.2
2016-03-25 15:44:10,534.48
2016-03-25 15:44:15,513.6
2016-03-25 15:44:20,578.88
2016-03-25 15:44:25,586.7
2016-03-25 15:44:30,566.01
2016-03-25 15:44:35,623.04
2016-03-25 15:44:40,584.92
2016-03-25 15:44:45,211.73
2016-03-25 15:44:50,0
2016-03-25 15:44:55,0
2016-03-25 15:45:00,0
2016-03-25 15:45:05,0
2016-03-25 15:45:10,0
2016-03-25 15:45:15,503.89
2016-03-25 15:45:20,604.6
2016-03-25 15:45:25,577.92
2016-03-25 15:45:30,616.03
2016-03-25 15:45:35,565.6
2016-03-25 15:45:40,612.45
2016-03-25 15:45:45,625.16
2016-03-25 15:45:50,646.32
2016-03-25 15:45:55,652.99
2016-03-25 15:46:00,618.17
2016-03-25 15:46:05,180.76
2016-03-25 15:46:10,0
2016-03-25 15:46:15,3
2016-03-25 15:46:20,0
2016-03-25 15:46:25,0
2016-03-25 15:46:30,0
2016-03-25 15:46:35,133.14
2016-03-25 15:46:40,812.5
2016-03-25 15:46:45,734.94
2016-03-25 15:46:50,788.61
2016-03-25 15:46:55,725.49
2016-03-25 15:47:00,717.77
2016-03-25 15:47:05,745.65
2016-03-25 15:47:10,785.12
2016-03-25 15:47:15,737.66
2016-03-25 15:47:20,748.37
2016-03-25 15:47:25,739.58
2016-03-25 15:47:30,784.95
2016-03-25 15:47:35,300.16
2016-03-25 15:47:40,0
2016-03-25 15:47:45,45.65
2016-03-25 15:47:50,0
2016-03-25 15:47:55,0
2016-03-25 15:48:00,0
2016-03-25 15:48:05,111.4
2016-03-25 15:48:10,245.46
2016-03-25 15:48:15,642.02
2016-03-25 15:48:20,937.72
2016-03-25 15:48:25,832.31
2016-03-25 15:48:30,915.32
2016-03-25 15:48:35,837.48
2016-03-25 15:48:40,906.09
2016-03-25 15:48:45,850.21
2016-03-25 15:48:50,909.04
2016-03-25 15:48:55,888.25
2016-03-25 15:49:00,873.12
2016-03-25 15:49:05,265.66
2016-03-25 15:49:10,0
2016-03-25 15:49:15,0
2016-03-25 15:49:20,0
2016-03-25 15:49:25,0
2016-03-25 15:49:30,0
2016-03-25 15:49:35,2
2016-03-25 15:49:40,9
2016-03-25 15:49:45,0
2016-03-25 15:49:50,0
2016-03-25 15:49:55,0
2016-03-25 15:50:00,128.69
2016-03-25 15:50:05,148.58
2016-03-25 15:50:10,291.56
2016-03-25 15:50:15,230.69
2016-03-25 15:50:20,42.94
2016-03-25 15:50:25,100.22
2016-03-25 15:50:30,52.43
2016-03-25 15:50:35,46.04
2016-03-25 15:50:40,44.27
2016-03-25 15:50:45,0
2016-03-25 15:50:50,282.86
2016-03-25 15:50:55,237.02
2016-03-25 15:51:00,180.91
2016-03-25 15:51:05,0
2016-03-25 15:51:10,99.29
2016-03-25 15:51:15,18.38
2016-03-25 15:51:20,86.18
2016-03-25 15:51:25,0
2016-03-25 15:51:30,0
2016-03-25 15:51:35,0
2016-03-25 15:51:40,0
2016-03-25 15:51:45,0
2016-03-25 15:51:50,0
2016-03-25 15:51:55,140.56
2016-03-25 15:52:00,251.34
2016-03-25 15:52:05,253.39
2016-03-25 15:52:10,258.45
2016-03-25 15:52:15,248.95
2016-03-25 15:52:20,270.89
2016-03-25 15:52:25,240.02
2016-03-25 15:52:30,260.21
2016-03-25 15:52:35,257.32
2016-03-25 15:52:40,244.26
2016-03-25 15:52:45,102.46
2016-03-25 15:52:50,0
2016-03-25 15:52:55,0
2016-03-25 15:53:00,0
2016-03-25 15:53:05,0
2016-03-25 15:53:10,0
2016-03-25 15:53:15,0
2016-03-25 15:53:20,0
2016-03-25 15:53:25,292.94
2016-03-25 15:53:30,415.99
2016-03-25 15:53:35,358.38
2016-03-25 15:53:40,443.29
2016-03-25 15:53:45,376.74
2016-03-25 15:53:50,439.22
2016-03-25 15:53:55,448.27
2016-03-25 15:54:00,355.55
2016-03-25 15:54:05,439.64
2016-03-25 15:54:10,388.14
2016-03-25 15:54:15,97.74
2016-03-25 15:54:20,21.19
2016-03-25 15:54:25,0
2016-03-25 15:54:30,0
2016-03-25 15:54:35,0
2016-03-25 15:54:40,0
2016-03-25 15:54:45,342.92
2016-03-25 15:54:50,671.6
2016-03-25 15:54:55,670.95
2016-03-25 15:55:00,674.17
2016-03-25 15:55:05,643.26
2016-03-25 15:55:10,652.14
2016-03-25 15:55:15,642.91
2016-03-25 15:55:20,658.5
2016-03-25 15:55:25,648.42
2016-03-25 15:55:30,613.13
2016-03-25 15:55:35,232.11
2016-03-25 15:55:40,0
2016-03-25 15:55:45,0
2016-03-25 15:55:50,0
2016-03-25 15:55:55,0
2016-03-25 15:56:00,0
2016-03-25 15:56:05,204.01
2016-03-25 15:56:10,339.73
2016-03-25 15:56:15,359.7
2016-03-25 15:56:20,407.89
2016-03-25 15:56:25,417.86
2016-03-25 15:56:30,434.7
2016-03-25 15:56:35,425.74
2016-03-25 15:56:40,408.61
2016-03-25 15:56:45,402.68
