HEADER_TIME_STAMP,ENMO
2016-03-25 15:29:50.000,0.018
2016-03-25 15:29:55.000,0.000
2016-03-25 15:30:00.000,0.037
2016-03-25 15:30:05.000,0.086
2016-03-25 15:30:10.000,0.047
2016-03-25 15:30:15.000,0.005
2016-03-25 15:30:20.000,0.034
2016-03-25 15:30:25.000,0.064
2016-03-25 15:30:30.000,0.036
2016-03-25 15:30:35.000,0.054
2016-03-25 15:30:40.000,0.095
2016-03-25 15:30:45.000,0.050
2016-03-25 15:30:50.000,0.021
2016-03-25 15:30:55.000,0.000
2016-03-25 15:31:00.000,0.000
2016-03-25 15:31:05.000,0.000
2016-03-25 15:31:10.000,0.000
2016-03-25 15:31:15.000,0.000
2016-03-25 15:31:20.000,0.000
2016-03-25 15:31:25.000,0.000
2016-03-25 15:31:30.000,0.000
2016-03-25 15:31:35.000,0.000
2016-03-25 15:31:40.000,0.000
2016-03-25 15:31:45.000,0.000
2016-03-25 15:31:50.000,0.000
2016-03-25 15:31:55.000,0.000
2016-03-25 15:32:00.000,0.000
2016-03-25 15:32:05.000,0.000
2016-03-25 15:32:10.000,0.001
2016-03-25 15:32:15.000,0.001
2016-03-25 15:32:20.000,0.000
2016-03-25 15:32:25.000,0.001
2016-03-25 15:32:30.000,0.001
2016-03-25 15:32:35.000,0.001
2016-03-25 15:32:40.000,0.001
2016-03-25 15:32:45.000,0.001
2016-03-25 15:32:50.000,0.001
2016-03-25 15:32:55.000,0.002
2016-03-25 15:33:00.000,0.002
2016-03-25 15:33:05.000,0.001
2016-03-25 15:33:10.000,0.002
2016-03-25 15:33:15.000,0.001
2016-03-25 15:33:20.000,0.002
2016-03-25 15:33:25.000,0.001
2016-03-25 15:33:30.000,0.001
2016-03-25 15:33:35.000,0.001
2016-03-25 15:33:40.000,0.001
2016-03-25 15:33:45.000,0.040
2016-03-25 15:33:50.000,0.071
2016-03-25 15:33:55.000,0.046
2016-03-25 15:34:00.000,0.027
2016-03-25 15:34:05.000,0.020
2016-03-25 15:34:10.000,0.018
2016-03-25 15:34:15.000,0.055
